n_up	n_dn	g_diff_up	g_diff_dn
0.5000000000000009	0.5	7.153361608368345e-16	0.0
0.5000000000000008	0.5	5.13653213614977e-17	0.0
0.5000000000000008	0.5	1.239561395113871e-17	0.0
0.5000000000000008	0.5	4.7078333062293937e-17	0.0
0.5000000000000008	0.5	7.776973315079092e-17	0.0
0.5000000000000008	0.5	1.0246377225324936e-15	0.0
0.5000000000000008	0.5	1.1662234811113867e-15	0.0
0.5000000000000008	0.5	2.0652997032410504e-17	0.0
0.5000000000000008	0.5	2.453841147808872e-16	0.0
0.5000000000000008	0.5	8.484866070359879e-16	0.0
0.5000000000000008	0.5	5.588809185068249e-16	0.0
0.5000000000000008	0.5	6.080810754603918e-19	0.0
0.5000000000000008	0.5	2.4297049113241034e-17	0.0
0.5000000000000008	0.5	5.318585768925176e-16	0.0
0.5000000000000008	0.5	7.256056578967336e-16	0.0
0.5000000000000008	0.5	2.0326450971820567e-16	0.0
0.5000000000000008	0.5	5.1822348128771956e-17	0.0
0.5000000000000008	0.5	1.749761713507187e-16	0.0
0.5000000000000008	0.5	4.685631310737534e-16	0.0
0.5000000000000008	0.5	4.867338204636039e-16	0.0
0.5000000000000009	0.5	9.325541035597403e-16	0.0
0.5000000000000008	0.5	1.9741643292569776e-16	0.0
0.5000000000000008	0.5	3.6888827574006126e-16	0.0
0.5000000000000008	0.5	7.660820145854274e-17	0.0
