wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.0007514998038956394+0.019875223917516012j)	(0.0003558866250218754+0.019889152411029124j)
-50.11822030179967	(0.0007544394233127234+0.01991401269134562j)	(0.00035726568706771707+0.01992804090891854j)
-50.02004553137499	(0.0007573963099321399+0.019952952879221282j)	(0.0003586533691949684+0.019967082712166184j)
-49.921870760950306	(0.0007603705990812366+0.019992045367858917j)	(0.000360049934184696+0.02000627849349612j)
-49.82369599052563	(0.0007633624274490372+0.020031291050902483j)	(0.0003614555416925576+0.02004562891247813j)
-49.725521220100944	(0.0007663719330943225+0.02007069082897807j)	(0.00036287027021569146+0.020085134659134096j)
-49.62734644967626	(0.0007693992554518507+0.020110245609756605j)	(0.0003642941466917534+0.020124796472632694j)
-49.52917167925158	(0.0007724445353403446+0.020149956308022653j)	(0.0003657271719280077+0.020164615143781726j)
-49.4309969088269	(0.0007755079149732819+0.020189823845746423j)	(0.0003671693382403503+0.020204591509298025j)
-49.33282213840222	(0.0007785895379722543+0.020229849152157364j)	(0.0003686206398216746+0.020244726443430675j)
-49.23464736797754	(0.0007816895493822265+0.02027003316381848j)	(0.00037008107786095826+0.02028502084993657j)
-49.13647259755286	(0.0007848080956880201+0.020310376824700865j)	(0.0003715506624436659+0.02032547565555201j)
-49.038297827128176	(0.0007879453248315772+0.020350881086258675j)	(0.00037302941270421676+0.02036609180512592j)
-48.9401230567035	(0.0007911013862297014+0.020391546907504398j)	(0.00037451735615145424+0.020406870258174538j)
-48.841948286278814	(0.0007942764307921275+0.020432375255084727j)	(0.0003760145276906017+0.020447811986523852j)
-48.74377351585414	(0.0007974706109398423+0.02047336710335705j)	(0.00037752096860247845+0.02048891797273327j)
-48.64559874542945	(0.0008006840806236246+0.020514523434466695j)	(0.000379036725608729+0.02053018920907546j)
-48.54742397500477	(0.0008039169953427946+0.020555845238424932j)	(0.0003805618500564229+0.020571626696887294j)
-48.44924920458009	(0.0008071695121641818+0.020597333513187897j)	(0.0003820963972410599+0.02061323144617833j)
-48.35107443415541	(0.0008104417897413141+0.020638989264736358j)	(0.0003836404258499358+0.020655004475401795j)
-48.25289966373073	(0.0008137339883338417+0.020680813507156445j)	(0.0003851939975127159+0.020696946811340967j)
-48.154724893306046	(0.0008170462698272056+0.020722807262721275j)	(0.000386757176435989+0.02073905948907206j)
-48.05655012288137	(0.0008203787977525619+0.020764971561973627j)	(0.00038833002911185175+0.020781343551972056j)
-47.958375352456684	(0.0008237317373069716+0.020807307443809535j)	(0.00038991262407570427+0.020823800051761116j)
-47.86020058203201	(0.0008271052553738573+0.02084981595556294j)	(0.00039150503172282044+0.0208664300485679j)
-47.76202581160732	(0.0008304995205437451+0.020892498153091334j)	(0.00039310732415303944+0.02090923461101129j)
-47.663851041182646	(0.0008339147031352895+0.020935355100862474j)	(0.0003947195750493878+0.020952214816287108j)
-47.56567627075796	(0.0008373509752165943+0.02097838787204212j)	(0.00039634185958011155+0.020995371750261834j)
-47.46750150033328	(0.0008408085106268316+0.021021597548582883j)	(0.0003979742543206126+0.02103870650757016j)
-47.3693267299086	(0.0008442874849981697+0.021064985221314128j)	(0.00039961683718691505+0.021082220191713578j)
-47.271151959483916	(0.0008477880757780135+0.02110855199003301j)	(0.0004012696873846977+0.021125913915160357j)
-47.17297718905924	(0.000851310462251559+0.0211522989635966j)	(0.0004029328853672828+0.021169788799452277j)
