wn	g_wn_up	g_wn_dn
-50.21639507222435	(-0.0002770367989078679+0.019899784371344934j)	(-0.0006721437586229248+0.019874173312714936j)
-50.11822030179967	(-0.00027812113961750965+0.019938717462271424j)	(-0.0006747611863083762+0.01991297047711264j)
-50.02004553137499	(-0.000279211854921063+0.01997780309980169j)	(-0.0006773942094078177+0.019951919411757134j)
-49.921870760950306	(-0.00028030899485375705+0.020017042181714014j)	(-0.0006800429415110327+0.019991020957467815j)
-49.82369599052563	(-0.00028141260994339796+0.020056435612837965j)	(-0.0006827074940050712+0.02003027597132865j)
-49.725521220100944	(-0.0002825227512153655+0.02009598430512424j)	(-0.0006853879786498949+0.020069685325480178j)
-49.62734644967626	(-0.00028363947019802496+0.020135689177715292j)	(-0.0006880845090778539+0.020109249905532832j)
-49.52917167925158	(-0.0002847628189284757+0.0201755511570169j)	(-0.0006907972014911599+0.020148970609047644j)
-49.4309969088269	(-0.0002858928499585354+0.02021557117677044j)	(-0.0006935261748710993+0.020188848344283923j)
-49.33282213840222	(-0.00028702961636090026+0.020255750178125913j)	(-0.0006962715508982335+0.020228884029239592j)
-49.23464736797754	(-0.00028817317173543107+0.02029608910971581j)	(-0.000699033453748106+0.020269078590988615j)
-49.13647259755286	(-0.0002893235702155362+0.02033658892772969j)	(-0.000701812009850633+0.020309432965228257j)
-49.038297827128176	(-0.000290480866474642+0.0203772505959897j)	(-0.0007046073476584103+0.02034994809600872j)
-48.9401230567035	(-0.0002916451157327366+0.020418075086026877j)	(-0.0007074195974595966+0.02039062493557748j)
-48.841948286278814	(-0.00029281637376299814+0.020459063377158387j)	(-0.0007102488912156253+0.020431464444312434j)
-48.74377351585414	(-0.0002939946968984998+0.02050021645656567j)	(-0.0007130953624462823+0.02047246759070711j)
-48.64559874542945	(-0.000295180142038998+0.020541535319373482j)	(-0.0007159591461465621+0.02051363535139156j)
-48.54742397500477	(-0.0002963727666578056+0.02058302096872993j)	(-0.0007188403787363874+0.020554968711186394j)
-48.44924920458009	(-0.0002975726288087555+0.020624674415887435j)	(-0.0007217391980297866+0.020596468663158455j)
-48.35107443415541	(-0.0002987797871332594+0.020666496680284703j)	(-0.0007246557432161553+0.020638136208697238j)
-48.25289966373073	(-0.00029999430086745876+0.020708488789629668j)	(-0.000727590154859982+0.020679972357589956j)
-48.154724893306046	(-0.0003012162298494728+0.02075065177998346j)	(-0.0007305425749198434+0.020721978128091158j)
-48.05655012288137	(-0.0003024456345267526+0.02079298669584538j)	(-0.0007335131467550943+0.020764154547013285j)
-47.958375352456684	(-0.00030368257596353446+0.02083549459023895j)	(-0.0007365020151510119+0.020806502649793245j)
-47.86020058203201	(-0.0003049271158483974+0.02087817652479896j)	(-0.0007395093263498503+0.020849023480583265j)
-47.76202581160732	(-0.00030617931650193464+0.02092103356985964j)	(-0.0007425352280678566+0.02089171809231714j)
-47.663851041182646	(-0.0003074392408845281+0.020964066804543904j)	(-0.000745579869528756+0.02093458754679864j)
-47.56567627075796	(-0.00030870695260424+0.021007277316853645j)	(-0.0007486434014863107+0.02097763291477546j)
-47.46750150033328	(-0.0003099825159248121+0.02105066620376124j)	(-0.0007517259762634327+0.021020855276017346j)
-47.3693267299086	(-0.0003112659957737872+0.021094234571302068j)	(-0.0007548277477701293+0.02106425571940071j)
-47.271151959483916	(-0.0003125574577507434+0.021137983534668312j)	(-0.0007579488715381603+0.021107835342979324j)
-47.17297718905924	(-0.0003138569681356512+0.021181914218303788j)	(-0.0007610895047435344+0.02115159525408045j)
-47.074802418634555	(-0.0003151645938973513+0.021226027756000083j)	(-0.0007642498062345309+0.021195536569375478j)
-46.97662764820988	(-0.0003164804027021564+0.02127032529099377j)	(-0.0007674299365549965+0.02123966041496894j)
-46.87845287778519	(-0.0003178044629225767+0.021314807976064963j)	(-0.0007706300579745907+0.021283967926488737j)
-46.780278107360516	(-0.0003191368436461741+0.021359476973636986j)	(-0.0007738503345153978+0.021328460249165373j)
-46.68210333693583	(-0.0003204776146845499+0.02140433345587739j)	(-0.0007770909319709127+0.021373138537926575j)
-46.58392856651115	(-0.00032182684658246054+0.021449378604800194j)	(-0.0007803520179324955+0.021418003957482456j)
-46.48575379608647	(-0.00032318461062706813+0.021494613612369425j)	(-0.0007836337618158825+0.021463057682419143j)
