wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.0007120579630020216+0.019878131307560516j)	(0.00031635062744446554+0.01989053163816566j)
-50.11822030179967	(0.0007148437342823081+0.01991693714425178j)	(0.00031757368460464183+0.01992942891845651j)
-50.02004553137499	(0.0007176458722999873+0.01995589452850125j)	(0.0003188049610013585+0.01996848009438506j)
-49.921870760950306	(0.0007204645053299277+0.0199950043484402j)	(0.00032004481203929644+0.020007685516051425j)
-49.82369599052563	(0.0007232997629950542+0.02003426749911958j)	(0.00032129331497059144+0.020047045586697843j)
-49.725521220100944	(0.0007261517762395453+0.02007368488255017j)	(0.00032255039522919524+0.02008656085527816j)
-49.62734644967626	(0.0007290206773108486+0.020113257407773734j)	(0.00032381593028859293+0.02012623201328161j)
-49.52917167925158	(0.0007319065997580979+0.020152985990944988j)	(0.0003250898043251056+0.020166059857785266j)
-49.4309969088269	(0.000734809678441774+0.020192871555413595j)	(0.00032637192820641+0.020206045255333507j)
-49.33282213840222	(0.0007377300495488418+0.020232915031803453j)	(0.0003276622424521938+0.020246189116190288j)
-49.23464736797754	(0.0007406678506100023+0.02027311735808964j)	(0.00032896071378203006+0.020286492378210928j)
-49.13647259755286	(0.000743623220517547+0.020313479479674077j)	(0.00033026733014239625+0.020326955997374323j)
-49.038297827128176	(0.0007465962995432703+0.020354002349460783j)	(0.000331582096065205+0.020367580942436014j)
-48.9401230567035	(0.0007495872293563017+0.020394686927931175j)	(0.00033290502887724796+0.020408368192002476j)
-48.841948286278814	(0.0007525961530408783+0.020435534183219913j)	(0.0003342361557735247+0.02044931873299189j)
-48.74377351585414	(0.0007556232151141081+0.020476545091191335j)	(0.0003355755116137169+0.02049043355987729j)
-48.64559874542945	(0.0007586685615437923+0.020517720635516747j)	(0.00033692313727931973+0.020531713674367326j)
-48.54742397500477	(0.0007617323397663505+0.02055906180775248j)	(0.0003382790784529174+0.020573160085328463j)
-48.44924920458009	(0.0007648146987048947+0.02060056960741894j)	(0.0003396433847111244+0.020614773808834762j)
-48.35107443415541	(0.0007679157887874787+0.02064224504208051j)	(0.00034101610884482256+0.02065655586827947j)
-48.25289966373073	(0.0007710357619655557+0.020684089127426482j)	(0.00034239730634171137+0.02069850729451822j)
