wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.0008697150011757909+0.01986556545041099j)	(0.000474404123638003+0.01988339920783581j)
-50.11822030179967	(0.000873115302991456+0.01990429756565048j)	(0.0004762470205788694+0.019922254972384038j)
-50.02004553137499	(0.0008765355645723272+0.019943180651490387j)	(0.00047810088093523+0.019961263243076996j)
-49.921870760950306	(0.0008799759422587542+0.01998221559024059j)	(0.0004799658680962828+0.020000424873255398j)
-49.82369599052563	(0.0008834365939284625+0.02002140327108672j)	(0.000481842131635759+0.02003974071024745j)
-49.725521220100944	(0.0008869176790149491+0.02006074459015531j)	(0.0004837298060469978+0.02007921160104381j)
-49.62734644967626	(0.0008904193585255512+0.020100240450579836j)	(0.00048562901131351876+0.020118838397222682j)
-49.52917167925158	(0.0008939417950594089+0.020139891762568023j)	(0.000487539854660749+0.020158621958781472j)
-49.4309969088269	(0.0008974851528255045+0.020179699443470287j)	(0.0004894624329031746+0.020198563156798872j)
-49.33282213840222	(0.0009010495976609242+0.020219664417849274j)	(0.0004913968349318218+0.020238662875044236j)
-49.23464736797754	(0.0009046352970494455+0.020259787617550595j)	(0.0004933431440434821+0.020278922010749555j)
-49.13647259755286	(0.000908242420140496+0.020300069981774475j)	(0.0004953014399525083+0.020319341474779404j)
-49.038297827128176	(0.0009118711377685088+0.020340512457148435j)	(0.0004972718004276154+0.020359922191410203j)
-48.9401230567035	(0.0009155216224726697+0.020381115997800885j)	(0.0004992543025609965+0.020400665097886208j)
-48.841948286278814	(0.0009191940485170534+0.020421881565435604j)	(0.0005012490237111684+0.020441571143874047j)
-48.74377351585414	(0.0009228885919111268+0.0204628101294071j)	(0.0005032560421754205+0.02048264129089704j)
-48.64559874542945	(0.000926605430430615+0.020503902666796914j)	(0.0005052754376485203+0.020523876511799297j)
-48.54742397500477	(0.0009303447436387073+0.020545160162490708j)	(0.0005073072915193404+0.020565277790266522j)
-48.44924920458009	(0.0009341067129076033+0.020586583609256342j)	(0.0005093516870485814+0.0206068461204151j)
-48.35107443415541	(0.0009378915214403896+0.020628174007822832j)	(0.0005114087094621582+0.020648582506451352j)
-48.25289966373073	(0.0009416993542932417+0.020669932366960193j)	(0.0005134784459865175+0.020690487962397187j)
-48.154724893306046	(0.0009455303983979534+0.02071185970356028j)	(0.0005155609858457531+0.02073256351187577j)
-48.05655012288137	(0.0009493848425847927+0.020753957042718554j)	(0.0005176564202345453+0.020774810187949595j)
-47.958375352456684	(0.0009532628776056859+0.020796225417816817j)	(0.0005197648422773367+0.020817229033003454j)
-47.86020058203201	(0.000957164696157734+0.020838665870606954j)	(0.0005218863469805848+0.020859821098665108j)
-47.76202581160732	(0.0009610904929070658+0.020881279451295646j)	(0.0005240210311828475+0.02090258744575752j)
-47.663851041182646	(0.0009650404645130288+0.02092406721863015j)	(0.0005261689935055579+0.020945529144277036j)
-47.56567627075796	(0.0009690148096527294+0.02096703023998506j)	(0.0005283303343067374+0.020988647273393043j)
-47.46750150033328	(0.0009730137290459206+0.021010169591450176j)	(0.0005305051556382589+0.02103194292146527j)
-47.3693267299086	(0.0009770374254802479+0.02105348635791937j)	(0.0005326935612074019+0.02107541718607568j)
-47.271151959483916	(0.000981086103836857+0.021096981633180637j)	(0.0005348956563429323+0.021119071174072374j)
-47.17297718905924	(0.0009851599711163716+0.021140656520007132j)	(0.0005371115479654913+0.02116290600162359j)
-47.074802418634555	(0.0009892592364652427+0.021184512130249418j)	(0.0005393413445623824+0.021206922794279916j)
-46.97662764820988	(0.0009933841112024808+0.021228549584928764j)	(0.0005415851561661262+0.021251122687043652j)
-46.87845287778519	(0.0009975348088467778+0.021272770014331692j)	(0.0005438430943369869+0.02129550682444403j)
-46.780278107360516	(0.0010017115451440156+0.021317174558105573j)	(0.000546115272148645+0.0213400763606176j)
-46.68210333693583	(0.0010059145380951848+0.021361764365355515j)	(0.0005484018041773467+0.02138483245939291j)
-46.58392856651115	(0.0010101440079847038+0.021406540594742375j)	(0.0005507028064935523+0.021429776294379012j)
-46.48575379608647	(0.0010144001774091533+0.021451504414582004j)	(0.0005530183966564803+0.02147490904905737j)
-46.387579025661786	(0.0010186832713064366+0.021496657002945795j)	(0.0005553486937107434+0.021520231916876603j)
-46.28940425523711	(0.001022993516985363+0.02154199954776236j)	(0.0005576938181851777+0.021565746101349974j)
-46.191229484812425	(0.0010273311441556696+0.021587533246920594j)	(0.0005600538920934638+0.021611452816155417j)
-46.09305471438775	(0.0010316963849584873+0.021633259308373967j)	(0.0005624290389364526+0.021657353285237876j)
-45.99487994396306	(0.0010360894739972564+0.02167917895024616j)	(0.0005648193837061824+0.021703448742913835j)
-45.896705173538386	(0.0010405106483690986+0.021725293400937963j)	(0.0005672250528913255+0.02174974043397787j)
-45.7985304031137	(0.0010449601476966606+0.021771603899235645j)	(0.0005696461744839229+0.02179622961381108j)
-45.700355632689025	(0.0010494382141604279+0.02181811169442055j)	(0.0005720828779873188+0.021842917548491332j)
-45.60218086226434	(0.001053945092531522+0.021864818046380175j)	(0.0005745352944251364+0.021889805514905367j)
-45.504006091839656	(0.0010584810302049887+0.021911724225720644j)	(0.0005770035563512222+0.0219368948008625j)
-45.40583132141498	(0.001063046277233585+0.021958831513880568j)	(0.0005794877978603239+0.021984186705210493j)
-45.307656550990295	(0.001067641086362078+0.02200614120324642j)	(0.000581988154599789+0.022031682537952853j)
-45.20948178056562	(0.0010722657130620495+0.02205365459726929j)	(0.0005845047637820264+0.022079383620368223j)
-45.11130701014093	(0.0010769204155672415+0.022101373010583267j)	(0.0005870377641977453+0.022127291285131433j)
