wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.0007909238849066871+0.019872160475678517j)	(0.00039539684104632645+0.019887204756998938j)
-50.11822030179967	(0.0007940172138794098+0.019910931274680292j)	(0.0003969305682509299+0.019926082473336507j)
-50.02004553137499	(0.0007971287090498237+0.019949853347024815j)	(0.0003984736434924+0.019965113177676456j)
-49.921870760950306	(0.0008002585127717433+0.01998892757801729j)	(0.00040002627943153287+0.02000429763668945j)
-49.82369599052563	(0.0008034067688122487+0.020028154859874858j)	(0.00040158863785057664+0.020043636605751796j)
-49.725521220100944	(0.0008065736223666005+0.020067536091787526j)	(0.0004031608337749183+0.020083130849444717j)
-49.62734644967626	(0.0008097592200712746+0.020107072179982376j)	(0.00040474294652192224+0.020122781154221198j)
-49.52917167925158	(0.0008129637100170949+0.020146764037790928j)	(0.000406335031452596+0.020162588334012042j)
-49.4309969088269	(0.000816187241763227+0.0201866125857187j)	(0.00040793712990818196+0.020202553231149948j)
-49.33282213840222	(0.0008194299663522369+0.020226618751516406j)	(0.0004095492766375203+0.020242676714684892j)
-49.23464736797754	(0.0008226920363261504+0.020266783470252337j)	(0.0004111715048594656+0.020282959677549575j)
-49.13647259755286	(0.0008259736057433647+0.020307107684385626j)	(0.0004128038494168001+0.02032340303347338j)
-49.038297827128176	(0.0008292748301962472+0.020347592343840284j)	(0.0004144463485419889+0.02036400771413629j)
-48.9401230567035	(0.0008325958668292734+0.020388238406079943j)	(0.0004160990446926632+0.02040477466677216j)
-48.841948286278814	(0.0008359368743576012+0.02042904683618334j)	(0.00041776198481030834+0.020445704852250637j)
-48.74377351585414	(0.0008392980130860054+0.020470018606920506j)	(0.0004194352202423369+0.020486799243607468j)
-48.64559874542945	(0.0008426794449281288+0.020511154698829803j)	(0.00042111880648959413+0.020528058824950308j)
-48.54742397500477	(0.0008460813334260223+0.020552456100295685j)	(0.00042281280288134626+0.020569484590657952j)
-48.44924920458009	(0.0008495038437699614+0.020593923807627437j)	(0.0004245172722298568+0.020611077544813557j)
-48.35107443415541	(0.0008529471428185365+0.020635558825138702j)	(0.0004262322804990924+0.02065283870080759j)
-48.25289966373073	(0.0008564113991190098+0.02067736216522796j)	(0.00042795789650603187+0.020694769081075624j)
-48.154724893306046	(0.0008598967829279532+0.020719334848459954j)	(0.0004296941916553215+0.02073686971693088j)
-48.05655012288137	(0.0008634034662321601+0.020761477903648053j)	(0.0004314412397119597+0.020779141648461542j)
-47.958375352456684	(0.0008669316227698477+0.02080379236793762j)	(0.0004331991166026467+0.020821585924485804j)
-47.86020058203201	(0.0008704814280521471+0.02084627928689036j)	(0.0004349679002533436+0.020864203602540748j)
-47.76202581160732	(0.0008740530593848944+0.020888939714569704j)	(0.00043674767044529387+0.020906995748902386j)
-47.663851041182646	(0.0008776466958907229+0.020931774713627185j)	(0.0004385385087027189+0.020949963438624777j)
-47.56567627075796	(0.0008812625185314666+0.020974785355389918j)	(0.0004403404981917802+0.020993107755596235j)
-47.46750150033328	(0.000884900710130881+0.021017972719949096j)	(0.0004421537236431121+0.021036429792604835j)
-47.3693267299086	(0.0008885614553976833+0.02106133789624959j)	(0.0004439782712841273+0.0210799306514131j)
-47.271151959483916	(0.0008922449409489266+0.021104881982180666j)	(0.00044581422878298566+0.021123611442840768j)
-47.17297718905924	(0.0008959513553337011+0.02114860608466776j)	(0.0004476616852070187+0.021167473286850404j)
-47.074802418634555	(0.0008996808890571852+0.021192511319765447j)	(0.00044952073098354536+0.02121151731263727j)
-46.97662764820988	(0.0009034337346050341+0.021236598812751497j)	(0.0004513914578722421+0.02125574465872177j)
-46.87845287778519	(0.0009072100864681294+0.02128086969822215j)	(0.00045327395894104275+0.021300156473043858j)
-46.780278107360516	(0.0009110101411676832+0.021325325120188518j)	(0.00045516832854501323+0.021344753913061j)
-46.68210333693583	(0.0009148340972807125+0.021369966232174235j)	(0.00045707466231138826+0.021389538145848715j)
-46.58392856651115	(0.0009186821554658785+0.02141479419731427j)	(0.00045899305712900415+0.021434510348200844j)
-46.48575379608647	(0.0009225545184897114+0.021459810188454997j)	(0.0004609236111377615+0.02147967170673474j)
-46.387579025661786	(0.000926451391253215+0.021505015388255545j)	(0.00046286642372667146+0.021525023417995087j)
-46.28940425523711	(0.0009303729808188644+0.02155041098929034j)	(0.0004648215955270781+0.021570566688559792j)
-46.191229484812425	(0.0009343194964380028+0.021595998194153032j)	(0.00046678922841576504+0.021616302735146968j)
-46.09305471438775	(0.0009382911495786399+0.021641778215561607j)	(0.00046876942551091753+0.021662232784724813j)
-45.99487994396306	(0.0009422881539536676+0.02168775227646497j)	(0.00047076229117734813+0.021708358074620158j)
-45.896705173538386	(0.0009463107255494886+0.02173392161015071j)	(0.00047276793102701055+0.02175467985263109j)
-45.7985304031137	(0.000950359082655077+0.021780287460354392j)	(0.00047478645192470956+0.02180119937714112j)
-45.700355632689025	(0.0009544334458914652+0.02182685108137008j)	(0.0004768179619948101+0.021847917917233155j)
-45.60218086226434	(0.0009585340382416798+0.02187361373816238j)	(0.000478862570625938+0.021894836752805853j)
-45.504006091839656	(0.0009626610850811178+0.021920576706479854j)	(0.000480920388482332+0.021941957174692887j)
-45.40583132141498	(0.0009668148142083833+0.021967741272969882j)	(0.00048299152751226423+0.02198928048478034j)
-45.307656550990295	(0.0009709954558765885+0.022015108735295007j)	(0.00048507610095618577+0.022036807996123828j)
-45.20948178056562	(0.000975203242825125+0.022062680402250765j)	(0.0004871742233585905+0.022084541033076974j)
-45.11130701014093	(0.0009794384103119164+0.022110457593885025j)	(0.0004892860105774609+0.022132480931409033j)
-45.013132239716256	(0.000983701196146157+0.022158441641618842j)	(0.0004914115797977578+0.02218062903843214j)
-44.91495746929157	(0.0009879918407215515+0.022206633888368923j)	(0.0004935510495437083+0.022228986713128184j)
-44.816782698866895	(0.0009923105870500556+0.022255035688671605j)	(0.0004957045396899203+0.022277555326274477j)
-44.71860792844221	(0.000996657680796136+0.022303648408808496j)	(0.0004978721714764264+0.02232633626057642j)
-44.62043315801753	(0.0010010333703115476+0.0223524734269337j)	(0.0005000540675231648+0.022375330910798585j)
-44.52225838759285	(0.00100543790667065+0.022401512133202746j)	(0.0005022503518444745+0.022424540683895662j)
-44.424083617168165	(0.0010098715437062613+0.022450765929903124j)	(0.000504461149862861+0.022473966999146836j)
-44.32590884674349	(0.0010143345380460617+0.022500236231586593j)	(0.0005066865884254865+0.022523611288294686j)
-44.227734076318804	(0.0010188271491495676+0.02254992446520319j)	(0.0005089267958195961+0.022573474995682175j)
-44.12955930589413	(0.0010233496393456613+0.022599832070236983j)	(0.0005111819017933038+0.022623559578392297j)
-44.03138453546944	(0.0010279022738707174+0.022649960498843647j)	(0.0005134520375657244+0.02267386650638919j)
-43.933209765044765	(0.0010324853209073104+0.02270031121598978j)	(0.0005157373358502337+0.02272439726266025j)
-43.83503499462008	(0.0010370990516235302+0.022750885699594166j)	(0.0005180379308668064+0.02277515334336031j)
-43.736860224195404	(0.0010417437402129054+0.02280168544067077j)	(0.0005203539583605405+0.02282613625796435j)
-43.63868545377072	(0.0010464196639349544+0.022852711943473755j)	(0.0005226855556213981+0.02287734752941488j)
-43.54051068334604	(0.0010511271031563652+0.02290396672564432j)	(0.0005250328615042008+0.022928788694271167j)
-43.44233591292136	(0.0010558663413928293+0.02295545131835959j)	(0.0005273960164458562+0.022980461302865327j)
-43.344161142496674	(0.0010606376653515262+0.023007167266483386j)	(0.0005297751624875832+0.02303236691945627j)
-43.245986372072	(0.0010654413649742796+0.02305911612871908j)	(0.0005321704432921602+0.023084507122387837j)
-43.14781160164731	(0.0010702777334813992+0.023111299477764524j)	(0.0005345820041652855+0.0231368835042462j)
-43.049636831222635	(0.0010751470674162074+0.02316371890046895j)	(0.0005370099920786595+0.023189497672026545j)
-42.95146206079795	(0.001080049666690282+0.023216375997992072j)	(0.0005394545556894631+0.023242351247292445j)
-42.853287290373274	(0.0010849858346294102+0.023269272385965316j)	(0.0005419158453629025+0.02329544586634504j)
-42.75511251994859	(0.001089955878020282+0.023322409694655207j)	(0.0005443940131951473+0.023348783180389365j)
-42.65693774952391	(0.0010949601071579217+0.02337578956912898j)	(0.0005468892130383838+0.02340236485570512j)
-42.55876297909923	(0.001099998835893884+0.02342941366942243j)	(0.0005494016005194063+0.02345619257381883j)
-42.46058820867455	(0.0011050723816852241+0.023483283670710065j)	(0.0005519313330672415+0.02351026803167875j)
-42.36241343824987	(0.0011101810656442511+0.023537401263477573j)	(0.0005544785699337865+0.023564592941833246j)
-42.26423866782518	(0.0011153252125890834+0.023591768153696596j)	(0.0005570434722215687+0.023619169032609334j)
-42.166063897400505	(0.0011205051510950275+0.023646386063001977j)	(0.0005596262029015218+0.023673998048294755j)
-42.06788912697582	(0.0011257212135467815+0.023701256728871408j)	(0.0005622269268461672+0.02372908174932778j)
-41.969714356551144	(0.0011309737361914832+0.023756381904807493j)	(0.0005648458108520946+0.023784421912480803j)
-41.87153958612646	(0.0011362630591926328+0.023811763360522417j)	(0.0005674830236662777+0.023840020331049115j)
-41.77336481570178	(0.0011415895266848827+0.023867402882125074j)	(0.0005701387360110863+0.02389587881504356j)
-41.6751900452771	(0.0011469534868297313+0.02392330227231088j)	(0.0005728131206111407+0.023951999191391696j)
-41.57701527485242	(0.00115235529187212+0.023979463350554106j)	(0.0005755063522228189+0.02400838330413115j)
-41.47884050442774	(0.0011577952981979686+0.024035887953303015j)	(0.0005782186076615658+0.02406503301461535j)
-41.38066573400306	(0.001163273866392647+0.02409257793417759j)	(0.0005809500658335242+0.024121950201713694j)
-41.282490963578375	(0.001168791361300423+0.02414953516417014j)	(0.0005837009077620395+0.024179136762017866j)
-41.18431619315369	(0.001174348152084882+0.024206761531848628j)	(0.0005864713166199538+0.024236594610050573j)
-41.086141422729014	(0.0011799446122903563+0.024264258943562905j)	(0.0005892614777555959+0.02429432567847925j)
-40.98796665230433	(0.00118558111990437+0.024322029323653828j)	(0.0005920715787259263+0.024352331918329386j)
-40.88979188187965	(0.0011912580574211242+0.024380074614665306j)	(0.000594901809325236+0.024410615299204373j)
-40.79161711145497	(0.0011969758119060438+0.024438396777559393j)	(0.0005977523616163955+0.024469177809506915j)
-40.69344234103029	(0.0012027347750613983+0.02449699779193437j)	(0.0006006234299642494+0.024528021456665865j)
-40.59526757060561	(0.0012085353432930309+0.02455587965624598j)	(0.0006035152110683918+0.02458714826736274j)
-40.49709280018093	(0.001214377917778201+0.02461504438803174j)	(0.0006064279039947286+0.0246465602877633j)
-40.398918029756246	(0.0012202629045345752+0.024674494024138547j)	(0.0006093617102109149+0.024706259583753862j)
-40.30074325933156	(0.0012261907144903769+0.02473423062095343j)	(0.000612316833621813+0.02476624824117653j)
-40.202568488906884	(0.0012321617635557335+0.024794256254637714j)	(0.0006152934806022125+0.02482652836607389j)
-40.1043937184822	(0.0012381764726952218+0.024854573021364464j)	(0.0006182918600353261+0.024887102084932555j)
-40.00621894805752	(0.001244235268001658+0.024915183037559387j)	(0.0006213121833457143+0.024947971544928053j)
-39.90804417763284	(0.0012503385807711405+0.02497608844014524j)	(0.0006243546645374888+0.025009138914183902j)
-39.80986940720816	(0.001256486847579372+0.02503729138678967j)	(0.0006274195202329314+0.025070606382023783j)
-39.71169463678348	(0.0012626805103592965+0.025098794056156774j)	(0.0006305069697098398+0.025132376159229492j)
-39.6135198663588	(0.0012689200164800645+0.02516059864816224j)	(0.0006336172349394777+0.025194450478306898j)
-39.515345095934116	(0.00127520581882736+0.0252227073842322j)	(0.0006367505406254385+0.02525683159375234j)
-39.41717032550944	(0.0012815383758851095+0.025285122507565906j)	(0.0006399071142449202+0.025319521782325473j)
-39.318995555084754	(0.0012879181518186122+0.02534784628340224j)	(0.0006430871860891383+0.025382523343326347j)
-39.22082078466007	(0.0012943456165590967+0.025410880999290075j)	(0.0006462909893104205+0.025445838598870743j)
-39.12264601423539	(0.0013008212458897697+0.02547422896536271j)	(0.0006495187599550897+0.025509469894175008j)
-39.02447124381071	(0.0013073455215333422+0.0255378925146163j)	(0.000652770737017408+0.02557341959784443j)
-38.92629647338603	(0.0013139189312410975+0.02560187400319233j)	(0.0006560471624780154+0.02563769010216602j)
-38.82812170296135	(0.0013205419688835183+0.025666175810664448j)	(0.000659348281349186+0.025702283823399952j)
-38.72994693253667	(0.0013272151345424979+0.025730800340329374j)	(0.0006626743417208588+0.02576720320207934j)
-38.631772162111986	(0.0013339389346051867+0.02579575001950228j)	(0.0006660255948029632+0.025832450703321273j)
-38.53359739168731	(0.0013407138818594768+0.025861027299816448j)	(0.0006694022949750131+0.02589802881713419j)
-38.435422621262624	(0.0013475404955911948+0.02592663465752755j)	(0.0006728046998336592+0.025963940058729495j)
-38.33724785083795	(0.0013544193016829997+0.025992574593822343j)	(0.000676233070238701+0.02603018696884784j)
-38.23907308041326	(0.0013613508327150552+0.02605884963513216j)	(0.00067968767036451+0.02609677211407924j)
