wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.0002772904055009754+0.019899768494171455j)	(-0.00011891406999974808+0.01990159813457538j)
-50.11822030179967	(0.0002783767306524542+0.019938701433087055j)	(-0.00011937776655627842+0.019940544803948683j)
-50.02004553137499	(0.0002794694499427273+0.019977786916901146j)	(-0.00011984420820765767+0.01997964418326189j)
-49.921870760950306	(0.000280568613638404+0.020017025843354304j)	(-0.00012031342716299216+0.020018897168211747j)
-49.82369599052563	(0.0002816742725005017+0.02005641911724141j)	(-0.000120785454762268+0.02005830466001099j)
-49.725521220100944	(0.0002827864777901877+0.020095967650480932j)	(-0.00012126032117058424+0.020097867565817464j)
-49.62734644967626	(0.00028390528127464625+0.020135672362184987j)	(-0.00012173805521491999+0.02013758679919904j)
-49.52917167925158	(0.0002850307352330695+0.020175534178730234j)	(-0.00012221868435316938+0.020177463280585634j)
-49.4309969088269	(0.00028616289246276777+0.020215554033829665j)	(-0.00012270223474920936+0.020217497937673856j)
-49.33282213840222	(0.00028730180628538867+0.020255732868605214j)	(-0.00012318873142126984+0.020257691705765354j)
-49.23464736797754	(0.0002884475305532395+0.02029607163166127j)	(-0.00012367819843191546+0.020298045528034325j)
-49.13647259755286	(0.0002896001196557022+0.02033657127915911j)	(-0.00012417065909340136+0.020338560355728827j)
-49.038297827128176	(0.00029075962852573984+0.020377232774892222j)	(-0.00012466613616928657+0.020379237148316375j)
-48.9401230567035	(0.0002919261126464885+0.020418057090362533j)	(-0.00012516465206004895+0.02042007687358585j)
-48.841948286278814	(0.0002930996280579364+0.020459045204857616j)	(-0.0001256662289661284+0.020461080507717926j)
-48.74377351585414	(0.00029428023136368755+0.02050019810552875j)	(-0.00012617088902597992+0.020502249035334416j)
-48.64559874542945	(0.0002954679797378145+0.020541516787470016j)	(-0.0001266786544295094+0.020543583449535j)
-48.54742397500477	(0.00029666293093179964+0.020583002253798256j)	(-0.00012718954750888674+0.02058508475192791j)
-48.44924920458009	(0.0002978651432815686+0.02062465551573412j)	(-0.00012770359080955453+0.02062675395265915j)
