wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.0008303292611598048+0.01986894095166567j)	(0.00043490004184173906+0.019885237583005998j)
-50.11822030179967	(0.0008335761533779847+0.019907692864089603j)	(0.0004365882819836297+0.019924104212916845j)
-50.02004553137499	(0.000836842109334686+0.019946595902031815j)	(0.0004382866622025353+0.019963123578161098j)
-49.921870760950306	(0.0008401272783867574+0.01998565094933161j)	(0.0004399953673452993+0.020002296496966228j)
-49.82369599052563	(0.0008434318113651491+0.020024858896722418j)	(0.0004417145540294191+0.02004162377957581j)
-49.725521220100944	(0.000846755860591832+0.02006422064189571j)	(0.0004434443514060088+0.020081106238347246j)
-49.62734644967626	(0.0008500995798960118+0.020103737089566417j)	(0.0004451848649519539+0.020120744695747116j)
-49.52917167925158	(0.0008534631246301629+0.020143409151540073j)	(0.0004469361816766972+0.02016053998946756j)
-49.4309969088269	(0.0008568466516863136+0.020183237746781622j)	(0.00044869837540512314+0.020200492975021606j)
-49.33282213840222	(0.0008602503195128011+0.020223223801485463j)	(0.0004504715114138758+0.020240604526516798j)
-49.23464736797754	(0.000863674288131584+0.020263368249146846j)	(0.0004522556501475326+0.020280875536277585j)
-49.13647259755286	(0.0008671187191561073+0.020303672030634178j)	(0.00045405085000160323+0.020321306913840056j)
-49.038297827128176	(0.0008705837758096993+0.020344136094262312j)	(0.0004558571692865897+0.02036189958468392j)
-48.9401230567035	(0.0008740696229444301+0.020384761395866677j)	(0.000457674667534522+0.020402654488932404j)
-48.841948286278814	(0.000877576427060404+0.02042554889887827j)	(0.0004595034063095133+0.020443572580150147j)
-48.74377351585414	(0.0008811043563254281+0.02046649957439944j)	(0.00046134344966424255+0.020484654824298905j)
-48.64559874542945	(0.0008846535805950394+0.020507614401280582j)	(0.0004631948643540792+0.020525902198870283j)
-48.54742397500477	(0.0008882242714328578+0.020548894366197598j)	(0.0004650577198944522+0.020567315692187473j)
-48.44924920458009	(0.0008918166021312562+0.02059034046373031j)	(0.00046693208852069683+0.020608896302858292j)
-48.35107443415541	(0.0008954307477323398+0.02063195369644174j)	(0.0004688180450931204+0.020650645039357006j)
-48.25289966373073	(0.0008990668850492247+0.0206737350749583j)	(0.0004707156669730329+0.020692562919712693j)
-48.154724893306046	(0.0009027251926876261+0.020715685618050924j)	(0.0004726250338903164+0.020734650971284675j)
-48.05655012288137	(0.0009064058510677444+0.020757806352717165j)	(0.0004745462278113223+0.02077691023060626j)
-47.958375352456684	(0.0009101090424464644+0.02080009831426424j)	(0.00047647933281459525+0.020819341743283107j)
-47.86020058203201	(0.0009138349509398625+0.02084256254639311j)	(0.00047842443497700756+0.02086194656393494j)
-47.76202581160732	(0.0009175837625460348+0.020885200101283523j)	(0.00048038162227279936+0.02090472575617019j)
-47.663851041182646	(0.0009213556651682421+0.020928012039680095j)	(0.0004823509844836408+0.020947680392586508j)
-47.56567627075796	(0.0009251508486383892+0.020970999430979468j)	(0.0004843326131206896+0.02099081155479229j)
-47.46750150033328	(0.0009289695047408307+0.021014163353318484j)	(0.0004863266013572702+0.021034120333444765j)
-47.3693267299086	(0.0009328118272365208+0.021057504893663426j)	(0.0004883330439716081+0.021077607828300492j)
-47.271151959483916	(0.0009366780118875089+0.021101025147900406j)	(0.000490352037298214+0.02112127514827606j)
-47.17297718905924	(0.0009405682564817806+0.021144725220926787j)	(0.0004923836791874143+0.02116512341151784j)
-47.074802418634555	(0.0009444827608584644+0.02118860622674381j)	(0.0004944280689724054+0.021209153745475905j)
-46.97662764820988	(0.0009484217269333955+0.021232669288550266j)	(0.0004964853074400339+0.02125336728698462j)
-46.87845287778519	(0.0009523853587250552+0.021276915538837413j)	(0.0004985554968081658+0.021297765182347803j)
-46.780278107360516	(0.0009563738623808813+0.021321346119484996j)	(0.0005006387407066755+0.021342348587427628j)
-46.68210333693583	(0.0009603874462039676+0.021365962181858517j)	(0.0005027351441635679+0.021387118667736613j)
-46.58392856651115	(0.0009644263206801489+0.02141076488690765j)	(0.0005048448135926455+0.02143207659853224j)
-46.48575379608647	(0.0009684906985054819+0.021455755405265935j)	(0.0005069678567855936+0.021477223564915528j)
-46.387579025661786	(0.0009725807946141343+0.021500934917351694j)	(0.0005091043829068351+0.021522560761930258j)
-46.28940425523711	(0.0009766968262066775+0.021546304613470194j)	(0.0005112545024895124+0.02156808939466519j)
-46.191229484812425	(0.000980839012778801+0.02159186569391712j)	(0.0005134183274347874+0.02161381067835889j)
-46.09305471438775	(0.0009850075761504472+0.02163761936908331j)	(0.0005155959710130606+0.021659725838505523j)
-45.99487994396306	(0.0009892027404953805+0.02168356685956084j)	(0.0005177875478669751+0.021705836110962176j)
-45.896705173538386	(0.0009934247323711946+0.021729709396250414j)	(0.0005199931740148503+0.021752142742057827j)
-45.7985304031137	(0.0009976737807497653+0.021776048220470162j)	(0.0005222129668560966+0.021798646988704967j)
-45.700355632689025	(0.001001950117048156+0.021822584584065732j)	(0.0005244470451781085+0.021845350118511905j)
-45.60218086226434	(0.0010062539751599896+0.021869319749521866j)	(0.0005266955291640316+0.02189225340989707j)
-45.504006091839656	(0.0010105855914872815+0.02191625499007533j)	(0.0005289585404014399+0.02193935815220431j)
-45.40583132141498	(0.0010149452049727629+0.021963391589829316j)	(0.0005312362018915038+0.021986665645820767j)
-45.307656550990295	(0.001019333057132677+0.02201073084386929j)	(0.0005335286380598227+0.02203417720229587j)
-45.20948178056562	(0.001023749392090077+0.02205827405838031j)	(0.0005358359747679011+0.02208189414446197j)
-45.11130701014093	(0.0010281944566086268+0.022106022550765894j)	(0.0005381583393249109+0.02212981780655648j)
-45.013132239716256	(0.0010326685001269087+0.02215397764976833j)	(0.000540495860500704+0.02217794953434592j)
-44.91495746929157	(0.0010371717747932586+0.022202140695590646j)	(0.00054284866853921+0.022226290685250963j)
-44.816782698866895	(0.001041704535501122+0.02225051304002002j)	(0.0005452168951722488+0.02227484262847416j)
-44.71860792844221	(0.0010462670399249583+0.022299096046552926j)	(0.00054760067363444+0.02232360674512826j)
-44.62043315801753	(0.0010508595485566852+0.02234789109052177j)	(0.0005500001386776001+0.02237258442836736j)
-44.52225838759285	(0.0010554823247426845+0.02239689955922327j)	(0.0005524154265877084+0.022421777083519782j)
-44.424083617168165	(0.0010601356347213757+0.02244612285204843j)	(0.0005548466752008763+0.022471186128221268j)
-44.32590884674349	(0.0010648197476613654+0.022495562380614276j)	(0.0005572940239204587+0.022520812992551622j)
-44.227734076318804	(0.0010695349357001842+0.02254521956889724j)	(0.0005597576137350986+0.022570659119172373j)
-44.12955930589413	(0.0010742814739836245+0.022595095853368358j)	(0.0005622375872374124+0.022620725963465035j)
-44.03138453546944	(0.0010790596407056826+0.022645192683130193j)	(0.0005647340886410761+0.022671014993672012j)
-43.933209765044765	(0.0010838697171491238+0.022695511520055563j)	(0.0005672472638001491+0.022721527691040532j)
-43.83503499462008	(0.0010887119877266759+0.022746053838928144j)	(0.0005697772602285265+0.02277226554996693j)
-43.736860224195404	(0.0010935867400228639+0.022796821127584833j)	(0.0005723242271199969+0.022823230078144022j)
-43.63868545377072	(0.0010984942648364995+0.02284781488706011j)	(0.000574888315368669+0.02287442279670908j)
-43.54051068334604	(0.001103434856223833+0.022899036631732227j)	(0.0005774696775889459+0.02292584524039475j)
-43.44233591292136	(0.0011084088115423845+0.022950487889471363j)	(0.0005800684681372722+0.02297749895768229j)
-43.344161142496674	(0.0011134164314954595+0.02300217020178976j)	(0.0005826848431337673+0.023029385510955725j)
-43.245986372072	(0.0011184580201773697+0.02305408512399387j)	(0.0005853189604838949+0.023081506476659328j)
-43.14781160164731	(0.0011235338851193657+0.02310623422533851j)	(0.0005879709799014011+0.023133863445456j)
-43.049636831222635	(0.0011286443373362959+0.023158619089183086j)	(0.0005906410629305201+0.023186458022389507j)
-42.95146206079795	(0.001133789691374006+0.023211241313149965j)	(0.0005933293729710182+0.02323929182704734j)
