wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.00015852687012977225+0.019902370085204058j)	(-0.00023767583325328063+0.019899453827081626j)
-50.11822030179967	(0.00015914821717816265+0.019941318326051248j)	(-0.00023860334107439244+0.01993838795195094j)
-50.02004553137499	(0.00015977322381851772+0.019980419232008096j)	(-0.0002395363214177164+0.01997747467259492j)
-49.921870760950306	(0.00016040191884491938+0.020019673701996595j)	(-0.00024047482886174325+0.020016714886942077j)
-49.82369599052563	(0.0001610343313348102+0.020059082642006607j)	(-0.00024141891740350757+0.020056109499657495j)
-49.725521220100944	(0.00016167049065226547+0.0200986469651655j)	(-0.00024236864021144874+0.020095659422049144j)
-49.62734644967626	(0.00016231042645135406+0.020138367591808547j)	(-0.00024332404951624758+0.020135365572024867j)
-49.52917167925158	(0.00016295416867958043+0.020178245449550186j)	(-0.00024428519660584766+0.020175228874122007j)
-49.4309969088269	(0.00016360174758139548+0.020218281473356088j)	(-0.0002452521318883987+0.02021525025960607j)
-49.33282213840222	(0.00016425319370177028+0.020258476605616048j)	(-0.00024622490499448497+0.020255430666621225j)
-49.23464736797754	(0.00016490853788982541+0.020298831796217748j)	(-0.0002472035648993293+0.02029577104037191j)
-49.13647259755286	(0.00016556781130251465+0.02033934800262141j)	(-0.00024818816005295146+0.020336272333317248j)
-49.038297827128176	(0.0001662310454083608+0.02038002618993531j)	(-0.00024917873851099776+0.02037693550536463j)
-48.9401230567035	(0.00016689827199124226+0.020420867330992215j)	(-0.00025017534806173964+0.020417761524053595j)
-48.841948286278814	(0.0001675695231542326+0.02046187240642678j)	(-0.0002511780363463963+0.020458751364725206j)
-48.74377351585414	(0.00016824483132348996+0.020503042404753813j)	(-0.0002521868509709543+0.020499906010674983j)
-48.64559874542945	(0.00016892422925219997+0.020544378322447553j)	(-0.0002532018396083933+0.020541226453289613j)
-48.54742397500477	(0.00016960775002457048+0.020585881164021873j)	(-0.000254223050090782+0.02058271369216877j)
-48.44924920458009	(0.00017029542705987994+0.020627551942111466j)	(-0.00025525053049115025+0.020624368735234086j)
-48.35107443415541	(0.00017098729411658042+0.020669391677554036j)	(-0.00025628432919539996+0.020666192598827474j)
-48.25289966373073	(0.00017168338529645582+0.0207114013994735j)	(-0.00025732449496477974+0.02070818630780115j)
-48.154724893306046	(0.0001723837350488362+0.020753582145364147j)	(-0.0002583710769896276+0.02075035089560134j)
-48.05655012288137	(0.00017308837817487028+0.020795934961175894j)	(-0.00025942412493520396+0.020792687404347622j)
-47.958375352456684	(0.00017379734983185663+0.02083846090140057j)	(-0.0002604836889804808+0.020835196884909323j)
-47.86020058203201	(0.00017451068553763448+0.02088116102915922j)	(-0.00026154981985076017+0.02087788039698032j)
-47.76202581160732	(0.00017522842117503686+0.02092403641629055j)	(-0.00026262256884496886+0.020920739009153345j)
-47.663851041182646	(0.00017595059299640515+0.020967088143440386j)	(-0.00026370198785841397+0.020963773798994407j)
-47.56567627075796	(0.00017667723762816834+0.021010317300152313j)	(-0.0002647881294017201+0.02100698585311818j)
-47.46750150033328	(0.00017740839207548714+0.02105372498495936j)	(-0.00026588104661659853+0.021050376267264574j)
-47.3693267299086	(0.00017814409372696443+0.021097312305476873j)	(-0.0002669807932890177+0.021093946146376975j)
-47.271151959483916	(0.00017888438035942349+0.02114108037849654j)	(-0.0002680874238602695+0.02113769660468239j)
-47.17297718905924	(0.0001796292901427551+0.021185030330081542j)	(-0.0002692009934363565+0.021181628765773456j)
-47.074802418634555	(0.00018037886164483485+0.021229163295662937j)	(-0.0002703215577960633+0.021225743762692668j)
-46.97662764820988	(0.00018113313383651204+0.021273480420137218j)	(-0.0002714491733980172+0.021270042738018646j)
-46.87845287778519	(0.00018189214609667126+0.021317982857965115j)	(-0.00027258389738699134+0.021314526843954566j)
-46.780278107360516	(0.00018265593821736775+0.0213626717732716j)	(-0.00027372578759966387+0.021359197242418766j)
-46.68210333693583	(0.00018342455040903913+0.0214075483399472j)	(-0.00027487490256999865+0.021404055105137383j)
-46.58392856651115	(0.0001841980233057923+0.021452613741750552j)	(-0.00027603130153439905+0.021449101613739172j)
-46.48575379608647	(0.0001849763979707696+0.021497869172412226j)	(-0.0002771950444367348+0.02149433795985222j)
-46.387579025661786	(0.0001857597159015943+0.021543315835739943j)	(-0.0002783661919333464+0.02153976534520281j)
-46.28940425523711	(0.00018654801903589548+0.021588954945725027j)	(-0.00027954480539809094+0.021585384981716162j)
-46.191229484812425	(0.0001873413497569173+0.021634787726650312j)	(-0.00028073094692749207+0.021631198091619074j)
