wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.00023770789205899368+0.01990079309830834j)	(-0.0001585054103157961+0.019901039471305348j)
-50.11822030179967	(0.0002386392663416829+0.019939732062654984j)	(-0.00015912371510319273+0.01993998288204493j)
-50.02004553137499	(0.00023957612365830535+0.019978823619223214j)	(-0.00015974567355746117+0.01997907897744426j)
-49.921870760950306	(0.0002405185071226937+0.020018068666218688j)	(-0.00016037132498474243+0.020018328653839946j)
-49.82369599052563	(0.00024146646027287677+0.02005746810890675j)	(-0.00016100070814191006+0.020057732813393757j)
-49.725521220100944	(0.00024242002707600555+0.020097022859681856j)	(-0.00016163386096174865+0.020097292364369343j)
-49.62734644967626	(0.00024337925193337594+0.020136733838137744j)	(-0.00016227082037383687+0.020137008221445183j)
-49.52917167925158	(0.00024434417968555324+0.02017660197113847j)	(-0.00016291162222187373+0.020176881306039108j)
-49.4309969088269	(0.0002453148556175956+0.02021662819289028j)	(-0.00016355630126688904+0.020216912546622546j)
-49.33282213840222	(0.00024629132546437246+0.020256813445014323j)	(-0.0001642048912588222+0.020257102879008743j)
-49.23464736797754	(0.0002472736354159751+0.02029715867662029j)	(-0.000164857425056358+0.020297453246605434j)
-49.13647259755286	(0.0002482618321232109+0.020337664844380883j)	(-0.00016551393477570058+0.0203379646006284j)
-49.038297827128176	(0.000249255962703182+0.02037833291260724j)	(-0.00016617445195187273+0.020378637900276737j)
-48.9401230567035	(0.0002502560747449405+0.020419163853325224j)	(-0.00016683900769993046+0.02041947411287393j)
-48.841948286278814	(0.0002512622163152228+0.020460158646352727j)	(-0.00016750763286734504+0.02046047421398014j)
-48.74377351585414	(0.000252274435964259+0.02050131827937779j)	(-0.00016818035817217723+0.020501639187481917j)
-48.64559874542945	(0.0002532927827316602+0.02054264374803777j)	(-0.0001688572143243675+0.02054297002566507j)
-48.54742397500477	(0.00025431730615238247+0.020584136055999406j)	(-0.00016953823212941804+0.02058446772927598j)
-48.44924920458009	(0.0002553480562627708+0.02062579621503992j)	(-0.00017022344257506167+0.02062613330757562j)
-48.35107443415541	(0.000256385083606683+0.020667625245129048j)	(-0.00017091287690230953+0.020667967778389792j)
-48.25289966373073	(0.0002574284392416962+0.02070962417451207j)	(-0.00017160656666267564+0.020709972168158126j)
-48.154724893306046	(0.00025847817474539814+0.0207517940397939j)	(-0.00017230454376351484+0.020752147511983784j)
-48.05655012288137	(0.00025953434222176467+0.020794135886024155j)	(-0.0001730068405033781+0.020794494853685203j)
-47.958375352456684	(0.000260596994307626+0.020836650766783302j)	(-0.0001737134895991423+0.02083701524585075j)
-47.86020058203201	(0.0002616661841792227+0.020879339744269802j)	(-0.0001744245242064848+0.020879709749896672j)
-47.76202581160732	(0.00026274196555885464+0.020922203889388397j)	(-0.00017513997793506067+0.020922579436128852j)
-47.663851041182646	(0.00026382439272162406+0.020965244281839428j)	(-0.00017585988485953072+0.02096562538380818j)
-47.56567627075796	(0.0002649135205022745+0.021008462010209283j)	(-0.0001765842795273895+0.02100884868121966j)
-47.46750150033328	(0.0002660094043021282+0.021051858172061923j)	(-0.00017731319696437828+0.02105225042574514j)
-47.3693267299086	(0.00026711210009612205+0.0210954338740316j)	(-0.00017804667267811258+0.021095831723939387j)
-47.271151959483916	(0.0002682216644399473+0.021139190231916693j)	(-0.0001787847426604254+0.02113959369160944j)
-47.17297718905924	(0.00026933815447729076+0.02118312837077467j)	(-0.000179527443388827+0.021183537453897006j)
-47.074802418634555	(0.0002704616279471823+0.02122724942501832j)	(-0.00018027481182738902+0.021227664145363687j)
-46.97662764820988	(0.00027159214319144896+0.021271554538513093j)	(-0.00018102688542729996+0.021271974910078928j)
-46.87845287778519	(0.0002727297591622789+0.02131604486467576j)	(-0.0001817837021272674+0.021316470901710436j)
-46.780278107360516	(0.000273874535429895+0.021360721566574162j)	(-0.00018254530035391833+0.021361153283617044j)
-46.68210333693583	(0.0002750265321903425+0.021405585817028408j)	(-0.00018331171902228756+0.02140602322894376j)
-46.58392856651115	(0.00027618581027339046+0.021450638798713142j)	(-0.000184082997536485+0.021451081920718998j)
-46.48575379608647	(0.00027735243115054986+0.021495881704261255j)	(-0.0001848591757905801+0.021496330551953793j)
-46.387579025661786	(0.00027852645694321154+0.021541315736368846j)	(-0.00018564029416975335+0.021541770325743063j)
-46.28940425523711	(0.00027970795043090273+0.021586942107901477j)	(-0.00018642639355172835+0.02158740245536866j)
-46.191229484812425	(0.0002808969750596688+0.02163276204200186j)	(-0.000187217515308504+0.021633228164404328j)
-46.09305471438775	(0.0002820935949505771+0.021678776772198836j)	(-0.0001880137013083904+0.02167924868682237j)
-45.99487994396306	(0.00028329787490835037+0.021724987542517803j)	(-0.00018881499391834952+0.021725465267102125j)
-45.896705173538386	(0.00028450988043012714+0.02177139560759251j)	(-0.00018962143600663946+0.021771879160340124j)
-45.7985304031137	(0.00028572967771435466+0.021818002232778296j)	(-0.00019043307094575721+0.021818491632361978j)
-45.700355632689025	(0.0002869573336698151+0.021864808694266803j)	(-0.00019124994261566984+0.021865303959835856j)
-45.60218086226434	(0.0002881929159247875+0.02191181627920213j)	(-0.00019207209540732974+0.02191231743038778j)
-45.504006091839656	(0.00028943649283634764+0.021959026285798502j)	(-0.00019289957422646072+0.02195953334271842j)
-45.40583132141498	(0.00029068813349980896+0.02200644002345946j)	(-0.0001937324244976115+0.02200695300672165j)
-45.307656550990295	(0.00029194790775830687+0.022054058812898583j)	(-0.00019457069216845997+0.022054577743604795j)
-45.20948178056562	(0.0002932158862125271+0.022101883986261783j)	(-0.0001954144237143629+0.022102408886010425j)
-45.11130701014093	(0.0002944921402305834+0.022149916887251195j)	(-0.00019626366614314457+0.02215044777813994j)
