wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.00011893023878874767+0.019902922393076217j)	(-0.00027725304806832567+0.019898426935726615j)
-50.11822030179967	(0.00011939652417006943+0.019941873884258894j)	(-0.00027833509109434593+0.01993735503147443j)
-50.02004553137499	(0.00011986555695130713+0.01998097806610833j)	(-0.00027942351941352277+0.0199764356569462j)
-49.921870760950306	(0.00012033735876174233+0.020020235837797204j)	(-0.00028051839721582815+0.020015669712462273j)
-49.82369599052563	(0.00012081195144319007+0.020059648105568796j)	(-0.000281619787040058+0.02005505810578194j)
-49.725521220100944	(0.00012128935705248152+0.020099215782806847j)	(-0.00028272774967761895+0.020094601751415486j)
-49.62734644967626	(0.00012176959786407856+0.020138939790106156j)	(-0.0002838423443751576+0.020134301570209394j)
-49.52917167925158	(0.00012225269637275782+0.020178821055343882j)	(-0.0002849636291416418+0.02017415848920451j)
-49.4309969088269	(0.00012273867529633204+0.020218860513751734j)	(-0.0002860916610512609+0.020214173441690676j)
-49.33282213840222	(0.00012322755757839324+0.02025905910798885j)	(-0.0002872264965018667+0.020254347367377527j)
-49.23464736797754	(0.00012371936639108+0.020299417788215618j)	(-0.0002883681914240534+0.020294681212621957j)
-49.13647259755286	(0.00012421412513786905+0.02033993751216835j)	(-0.0002895168014490361+0.02033517593067419j)
-49.038297827128176	(0.0001247118574563967+0.02038061924523483j)	(-0.00029067238204579486+0.020375832481920764j)
-48.9401230567035	(0.00012521258722131246+0.020421463960530805j)	(-0.0002918349886362611+0.020416651834112957j)
-48.841948286278814	(0.00012571633854716844+0.02046247263897738j)	(-0.000293004676694809+0.02045763496257554j)
-48.74377351585414	(0.00012622313579134512+0.020503646269379342j)	(-0.0002941815018360929+0.02049878285039451j)
-48.64559874542945	(0.00012673300355701684+0.020544985848504484j)	(-0.00029536551989369246+0.020540096488584552j)
-48.54742397500477	(0.00012724596669615542+0.020586492381163828j)	(-0.0002965567869909922+0.0205815768762381j)
-48.44924920458009	(0.00012776205031257544+0.020628166880292887j)	(-0.00029775535960513416+0.020623225020658255j)
-48.35107443415541	(0.00012828127976502012+0.020670010367033875j)	(-0.00029896129462457326+0.020665041937478236j)
-48.25289966373073	(0.00012880368067028964+0.02071202387081894j)	(-0.0003001746494006214+0.020707028650769697j)
-48.154724893306046	(0.0001293292789064123+0.020754208429454434j)	(-0.0003013954817933444+0.02074918619314233j)
-48.05655012288137	(0.0001298581006158589+0.020796565089206152j)	(-0.00030262385021218274+0.020791515605836565j)
-47.958375352456684	(0.00013039017220880213+0.02083909490488569j)	(-0.00030385981365171324+0.02083401793881133j)
-47.86020058203201	(0.00013092552036642085+0.020881798939937832j)	(-0.00030510343172298834+0.020876694250828186j)
-47.76202581160732	(0.00013146417204425102+0.020924678266528995j)	(-0.0003063547646809129+0.02091954560953331j)
-47.663851041182646	(0.00013200615447558336+0.020967733965636795j)	(-0.00030761387344810224+0.020962573091537987j)
-47.56567627075796	(0.0001325514951749094+0.021010967127140685j)	(-0.0003088808196356461+0.021005777782498868j)
-47.46750150033328	(0.00013310022194141597+0.021054378849913777j)	(-0.0003101556655611997+0.02104916077719824j)
-47.3693267299086	(0.00013365236286253004+0.02109797024191569j)	(-0.00031143847426478525+0.02109272317962507j)
-47.271151959483916	(0.00013420794631751446+0.0211417424202867j)	(-0.0003127293095226672+0.021136466103057087j)
-47.17297718905924	(0.0001347670009811151+0.021185696511442913j)	(-0.0003140282358596249+0.02118039067014413j)
-47.074802418634555	(0.00013532955582726082+0.021229833651172744j)	(-0.00031533531855992+0.021224498012993188j)
-46.97662764820988	(0.00013589564013281752+0.021274154984734513j)	(-0.00031665062367721385+0.021268789273254974j)
-46.87845287778519	(0.00013646528348139656+0.02131866166695532j)	(-0.0003179742180436458+0.02131326560221241j)
-46.780278107360516	(0.00013703851576721908+0.02136335486233113j)	(-0.0003193061692782698+0.021357928160870992j)
-46.68210333693583	(0.00013761536719903653+0.021408235745128137j)	(-0.00032064654579499753+0.021402778120051005j)
-46.58392856651115	(0.00013819586830410963+0.02145330549948539j)	(-0.0003219954168102045+0.02144781666048166j)
-46.48575379608647	(0.00013878004993224543+0.021498565319518707j)	(-0.0003233528523501114+0.02149304497289718j)
-46.387579025661786	(0.00013936794325989423+0.02154401640942593j)	(-0.000324718923258052+0.02153846425813484j)
-46.28940425523711	(0.0001399595797943075+0.021589659983593495j)	(-0.00032609370120170093+0.021584075727234853j)
-46.191229484812425	(0.00014055499137775727+0.02163549726670435j)	(-0.000327477258680322+0.021629880601542237j)
-46.09305471438775	(0.00014115421019181875+0.021681529493847274j)	(-0.00032886966903207385+0.021675880112810512j)
-45.99487994396306	(0.00014175726876171658+0.02172775791062756j)	(-0.00033027100644141276+0.021722075503307355j)
-45.896705173538386	(0.00014236419996073652+0.02177418377327912j)	(-0.00033168134594663404+0.021768468025921976j)
-45.7985304031137	(0.00014297503701470317+0.021820808348778063j)	(-0.0003331007634476022+0.021815058944274386j)
