wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.0011447883862505319+0.019837586342495793j)	(0.0007505747613431698+0.019866369279131088j)
-50.11822030179967	(0.0011492576585621927+0.019876154539084832j)	(0.0007534952167453753+0.019905125163124777j)
-50.02004553137499	(0.0011537531148017137+0.019914872425053444j)	(0.0007564328236864987+0.019944032428407317j)
-49.921870760950306	(0.0011582749595911489+0.019953740870170725j)	(0.0007593877322889298+0.019983091957476665j)
-49.82369599052563	(0.0011628233995524956+0.01999276075093096j)	(0.0007623600935209435+0.020022304638118566j)
-49.725521220100944	(0.0011673986433312247+0.020031932950618437j)	(0.0007653500590039134+0.020061671363582542j)
-49.62734644967626	(0.0011720009016201207+0.020071258359372988j)	(0.000768357780846887+0.02010119303279005j)
-49.52917167925158	(0.001176630387183442+0.020110737874256313j)	(0.0007713834115137979+0.02014087055056753j)
-49.4309969088269	(0.0011812873148814+0.020150372399319032j)	(0.0007744271037258758+0.020180704827896283j)
-49.33282213840222	(0.0011859719016949618+0.020190162845668536j)	(0.0007774890104000104+0.02022069678217103j)
-49.23464736797754	(0.0011906843667509861+0.020230110131537637j)	(0.0007805692846218627+0.02026084733745991j)
-49.13647259755286	(0.0011954249313476965+0.020270215182353987j)	(0.0007836680796510955+0.020301157424759304j)
-49.038297827128176	(0.001200193818980496+0.02031047893081033j)	(0.0007867855489547913+0.02034162798223835j)
-48.9401230567035	(0.0012049912553681362+0.020350902316935607j)	(0.000789921846264718+0.020382259955469113j)
-48.841948286278814	(0.0012098174684792423+0.020391486288166852j)	(0.0007930771256534885+0.020423054297640023j)
-48.74377351585414	(0.0012146726885592003+0.02043223179942196j)	(0.0007962515416251019+0.020464011969751082j)
-48.64559874542945	(0.0012195571481574273+0.020473139813173342j)	(0.0007994452492152604+0.020505133940790645j)
-48.54742397500477	(0.001224471082155009+0.020514211299522415j)	(0.0008026584040976473+0.02054642118789423j)
-48.44924920458009	(0.0012294147277927322+0.020555447236274983j)	(0.000805891162692695+0.020587874696486506j)
-48.35107443415541	(0.0012343883246995109+0.020596848609017573j)	(0.0008091436822762004+0.0206294954604081j)
