wn	g_wn_up	g_wn_dn
-50.21639507222435	(-0.00039574170180750633+0.019895773208593568j)	(-0.0007902792778248695+0.019864087560071603j)
-50.11822030179967	(-0.0003972905629887622+0.019934682743002235j)	(-0.000793355463189886+0.019902828474724937j)
-50.02004553137499	(-0.00039884852887709423+0.019973744639322555j)	(-0.0007964498157172348+0.019941720713066116j)
-49.921870760950306	(-0.00040041567092246385+0.020012959793514983j)	(-0.0007995624885322889+0.019980765128822367j)
-49.82369599052563	(-0.0004019920612777176+0.020052329108571878j)	(-0.0008026936327351012+0.020019962585632527j)
-49.725521220100944	(-0.00040357777280667945+0.020091853494586562j)	(-0.0008058433980680378+0.02005931395721591j)
-49.62734644967626	(-0.00040517287909234853+0.020131533868823243j)	(-0.0008090119335912583+0.02009882012724258j)
-49.52917167925158	(-0.00040677745444523967+0.020171371155787862j)	(-0.0008121993882792861+0.020138481989078527j)
-49.4309969088269	(-0.0004083915739118742+0.020211366287299776j)	(-0.0008154059115082413+0.02017830044548095j)
-49.33282213840222	(-0.0004100153132834255+0.020251520202564245j)	(-0.0008186316534209154+0.020218276408306212j)
-49.23464736797754	(-0.00041164874910452155+0.020291833848245858j)	(-0.0008218767651835748+0.02025841079825486j)
-49.13647259755286	(-0.0004132919586821936+0.020332308178542723j)	(-0.0008251413991649519+0.020298704544662954j)
-49.038297827128176	(-0.00041494502009497094+0.020372944155261606j)	(-0.0008284257090517879+0.020339158585342403j)
-48.9401230567035	(-0.0004166080122021149+0.020413742747893898j)	(-0.0008317298499224005+0.02037977386646932j)
-48.841948286278814	(-0.0004182810146529914+0.020454704933692516j)	(-0.0008350539782973665+0.020420551342512798j)
-48.74377351585414	(-0.0004199641078965773+0.020495831697749687j)	(-0.0008383982521733001+0.020461491976197625j)
-48.64559874542945	(-0.0004216573731911074+0.020537124033075692j)	(-0.0008417628310454942+0.02050259673849353j)
-48.54742397500477	(-0.0004233608926138546+0.020578582940678512j)	(-0.0008451478759300614+0.020543866608627614j)
-48.44924920458009	(-0.00042507474907105074+0.02062020942964448j)	(-0.0008485535493820733+0.020585302574110207j)
-48.35107443415541	(-0.0004267990263079475+0.020662004517219883j)	(-0.0008519800155152695+0.020626905630780297j)
-48.25289966373073	(-0.00042853380891901796+0.020703969228893504j)	(-0.0008554274400237468+0.02066867678285506j)
-48.154724893306046	(-0.0004302791823583034+0.02074610459848028j)	(-0.0008588959902054509+0.020710617042989068j)
-48.05655012288137	(-0.00043203523294990567+0.020788411668205834j)	(-0.0008623858349901488+0.020752727432338258j)
-47.958375352456684	(-0.00043380204789863173+0.02083089148879218j)	(-0.0008658971449611358+0.020795008980627652j)
-47.86020058203201	(-0.0004355797153007851+0.020873545119544354j)	(-0.0008694300923883284+0.02083746272622321j)
-47.76202581160732	(-0.00043736832415511615+0.020916373628438192j)	(-0.0008729848512549737+0.0208800897162048j)
-47.663851041182646	(-0.0004391679643739265+0.02095937809220913j)	(-0.0008765615972874915+0.020922891006442932j)
-47.56567627075796	(-0.00044097872679433486+0.021002559596442157j)	(-0.0008801605079863207+0.02096586766167517j)
-47.46750150033328	(-0.00044280070318970344+0.021045919235662798j)	(-0.000883781762655315+0.021009020755584723j)
-47.3693267299086	(-0.00044463398628122926+0.021089458113429282j)	(-0.0008874255424369811+0.021052351370880473j)
-47.271151959483916	(-0.00044647866974970696+0.021133177342425855j)	(-0.000891092030336307+0.021095860599380227j)
-47.17297718905924	(-0.0004483348482474565+0.021177078044557165j)	(-0.0008947814112568197+0.02113954954209136j)
-47.074802418634555	(-0.0004502026174104295+0.02122116135104399j)	(-0.0008984938720290694+0.02118341930929363j)
-46.97662764820988	(-0.0004520820738704876+0.021265428402519923j)	(-0.000902229601441373+0.021227471020627112j)
-46.87845287778519	(-0.0004539733152678645+0.02130988034912951j)	(-0.0009059887902700998+0.021271705805175567j)
-46.780278107360516	(-0.00045587644026380645+0.021354518350627422j)	(-0.0009097716313087612+0.02131612480155605j)
-46.68210333693583	(-0.00045779154855340033+0.02139934357647899j)	(-0.0009135783193998122+0.02136072915800781j)
-46.58392856651115	(-0.00045971874087858994+0.021444357205961946j)	(-0.0009174090514607831+0.021405520032482157j)
-46.48575379608647	(-0.0004616581190413836+0.02148956042826944j)	(-0.0009212640265159709+0.021450498592735012j)
-46.387579025661786	(-0.00046360978591725627+0.021534954442614437j)	(-0.0009251434457260296+0.021495666016420473j)
-46.28940425523711	(-0.00046557384546874986+0.021580540458335296j)	(-0.0009290475124162116+0.02154102349118606j)
-46.191229484812425	(-0.0004675504027592767+0.021626319695002814j)	(-0.000932976432105314+0.021586572214768947j)
-46.09305471438775	(-0.0004695395639671249+0.021672293382528567j)	(-0.0009369304125355031+0.021632313395094728j)
-45.99487994396306	(-0.0004715414363996744+0.021718462761274634j)	(-0.0009409096637028781+0.021678248250378316j)
-45.896705173538386	(-0.00047355612850782296+0.021764829082164726j)	(-0.0009449143978871085+0.021724378009222278j)
-45.7985304031137	(-0.00047558374990063016+0.021811393606796736j)	(-0.0009489448296787085+0.02177070391072222j)
-45.700355632689025	(-0.00047762441136017824+0.021858157607556734j)	(-0.0009530011760103689+0.021817227204570796j)
-45.60218086226434	(-0.0004796782248566575+0.02190512236773441j)	(-0.0009570836561863846+0.02186394915116479j)
-45.504006091839656	(-0.00048174530356367653+0.02195228918164003j)	(-0.0009611924919133202+0.02191087102171102j)
-45.40583132141498	(-0.0004838257618738046+0.02199965935472283j)	(-0.0009653279073305396+0.02195799409834103j)
-45.307656550990295	(-0.00048591971541434855+0.022047234203691056j)	(-0.0009694901290409118+0.022005319674217004j)
-45.20948178056562	(-0.000488027281063366+0.022095015056633423j)	(-0.000973679386142591+0.02205284905364724j)
-45.11130701014093	(-0.0004901485769659254+0.022143003253142272j)	(-0.0009778959102599454+0.022100583552201285j)
-45.013132239716256	(-0.0004922837225506088+0.022191200144438213j)	(-0.000982139935574859+0.022148524496827696j)
-44.91495746929157	(-0.0004944328385462688+0.02223960709349651j)	(-0.0009864116988608969+0.022196673225969212j)
-44.816782698866895	(-0.0004965960469990389+0.022288225475174995j)	(-0.000990711439513954+0.02224503108968539j)
-44.71860792844221	(-0.0004987734712896063+0.022337056676343735j)	(-0.0009950393995864478+0.022293599449774465j)
-44.62043315801753	(-0.0005009652361507464+0.022386102096016405j)	(-0.000999395823821466+0.0223423796798961j)
-44.52225838759285	(-0.0005031714676851295+0.02243536314548332j)	(-0.0010037809596852687+0.022391373165694804j)
-44.424083617168165	(-0.0005053922933833996+0.022484841248446276j)	(-0.0010081950574011042+0.022440581304932327j)
-44.32590884674349	(-0.0005076278421425307+0.022534537841155132j)	(-0.0010126383699884292+0.022490005507614833j)
-44.227734076318804	(-0.000509878244284471+0.02258445437254627j)	(-0.0010171111532945344+0.022539647196122174j)
-44.12955930589413	(-0.0005121436315750698+0.02263459230438275j)	(-0.0010216136660339363+0.022589507805341816j)
-44.03138453546944	(-0.0005144241372433053+0.022684953111396497j)	(-0.0010261461698218375+0.02263958878280397j)
-43.933209765044765	(-0.0005167198960008058+0.022735538281432245j)	(-0.001030708929212183+0.022689891588818133j)
-43.83503499462008	(-0.0005190310440616764+0.02278634931559349j)	(-0.0010353022117380922+0.02274041769661293j)
-43.736860224195404	(-0.0005213577191626376+0.022837387728390307j)	(-0.001039926287946469+0.022791168592473994j)
-43.63868545377072	(-0.0005237000605834783+0.022888655047889252j)	(-0.0010445814314389789+0.022842145775890135j)
-43.54051068334604	(-0.0005260582091678259+0.022940152815865172j)	(-0.0010492679189132972+0.022893350759693586j)
-43.44233591292136	(-0.0005284323073442515+0.022991882587955176j)	(-0.0010539860302002544+0.022944785070209438j)
-43.344161142496674	(-0.0005308224991476985+0.023043845933814523j)	(-0.0010587360483055074+0.022996450247405417j)
-43.245986372072	(-0.0005332289302412559+0.023096044437274796j)	(-0.0010635182594533183+0.02304834784504164j)
-43.14781160164731	(-0.0005356517479382735+0.023148479696504076j)	(-0.0010683329531286463+0.023100479430822596j)
-43.049636831222635	(-0.0005380911012248298+0.023201153324169378j)	(-0.0010731804221172558+0.023152846586552048j)
-42.95146206079795	(-0.0005405471407825557+0.023254066947601255j)	(-0.001078060962552573+0.02320545090829258j)
-42.853287290373274	(-0.0005430200190118232+0.023307222208960664j)	(-0.0010829748739581676+0.02325829400652008j)
-42.75511251994859	(-0.0005455098900553051+0.023360620765408107j)	(-0.001087922459291779+0.023311377506289973j)
-42.65693774952391	(-0.0005480169098219082+0.02341426428927508j)	(-0.0010929040249943304+0.023364703047399883j)
-42.55876297909923	(-0.0005505412360110964+0.023468154468237926j)	(-0.001097919881034651+0.02341827228455824j)
-42.46058820867455	(-0.000553083028137599+0.023522293005493976j)	(-0.001102970340958977+0.023472086887546758j)
-42.36241343824987	(-0.0005556424475565231+0.023576681619940268j)	(-0.0011080557219378538+0.023526148541393982j)
-42.26423866782518	(-0.0005582196574888686+0.023631322046354594j)	(-0.0011131763448126452+0.023580458946549095j)
-42.166063897400505	(-0.0005608148230474556+0.023686216035579143j)	(-0.0011183325341489222+0.02363501981905822j)
-42.06788912697582	(-0.0005634281112632765+0.023741365354706674j)	(-0.0011235246182864345+0.02368983289074212j)
-41.969714356551144	(-0.0005660596911122723+0.023796771787269265j)	(-0.0011287529293889107+0.02374489990937506j)
-41.87153958612646	(-0.0005687097335425488+0.023852437133429723j)	(-0.0011340178034988492+0.02380022263886733j)
-41.77336481570178	(-0.0005713784115020375+0.023908363210175646j)	(-0.0011393195805886114+0.023855802859452175j)
-41.6751900452771	(-0.0005740658999666085+0.023964551851516226j)	(-0.0011446586046154484+0.023911642367875966j)
-41.57701527485242	(-0.000576772375968645+0.02402100490868178j)	(-0.0011500352235750513+0.023967742977586658j)
-41.47884050442774	(-0.0005794980186260904+0.02407772425032618j)	(-0.0011554497895598832+0.024024106518926485j)
-41.38066573400306	(-0.0005822430091719719+0.024134711762732027j)	(-0.0011609026588140232+0.02408073483932981j)
-41.282490963578375	(-0.0005850075309844134+0.024191969350018785j)	(-0.0011663941917929342+0.024137629803523165j)
-41.18431619315369	(-0.0005877917696171472+0.0242494989343539j)	(-0.001171924753220441+0.024194793293725057j)
-41.086141422729014	(-0.000590595912830531+0.02430730245616684j)	(-0.0011774947121495757+0.024252227209852876j)
-40.98796665230433	(-0.0005934201506230823+0.024365381874366297j)	(-0.0011831044420248127+0.024309933469727412j)
-40.88979188187965	(-0.0005962646752635384+0.024423739166560328j)	(-0.001188754320741331+0.02436791400928453j)
-40.79161711145497	(-0.0005991296813234565+0.024482376329279847j)	(-0.0011944447307091933+0.024426170782789663j)
-40.69344234103029	(-0.0006020153657103539+0.024541295378205145j)	(-0.0012001760589176293+0.02448470576305423j)
-40.59526757060561	(-0.0006049219277014133+0.0246004983483958j)	(-0.0012059486969998284+0.02454352094165491j)
-40.49709280018093	(-0.0006078495689777492+0.024659987294523813j)	(-0.0012117630412989862+0.024602618329153416j)
-40.398918029756246	(-0.0006107984936592609+0.024719764291110183j)	(-0.0012176194929333845+0.02466199995532497j)
-40.30074325933156	(-0.000613768908340066+0.024779831432764833j)	(-0.0012235184578677858+0.024721667869391055j)
-40.202568488906884	(-0.0006167610221245436+0.02484019083443012j)	(-0.0012294603469850077+0.02478162414024542j)
-40.1043937184822	(-0.0006197750466639886+0.0249008446316278j)	(-0.0012354455761513247+0.024841870856693555j)
-40.00621894805752	(-0.0006228111961938899+0.024961794980709634j)	(-0.001241474566289544+0.024902410127691288j)
-39.90804417763284	(-0.0006258696875718481+0.02502304405911169j)	(-0.0012475477434559289+0.024963244082586437j)
-39.80986940720816	(-0.0006289507403161388+0.025084594065612295j)	(-0.0012536655389117773+0.02502437487136585j)
-39.71169463678348	(-0.0006320545766449475+0.025146447220593882j)	(-0.0012598283891975487+0.025085804664906727j)
-39.6135198663588	(-0.0006351814215162686+0.02520860576630861j)	(-0.0012660367362146699+0.025147535655228242j)
-39.515345095934116	(-0.000638331502668503+0.02527107196714794j)	(-0.001272291027301381+0.02520957005574934j)
-39.41717032550944	(-0.0006415050506617529+0.02533384810991622j)	(-0.0012785917153133358+0.02527191010154777j)
-39.318995555084754	(-0.0006447022989198391+0.025396936504108326j)	(-0.0012849392587019513+0.02533455804962872j)
-39.22082078466007	(-0.0006479234837730399+0.02546033948219136j)	(-0.0012913341216006745+0.025397516179185703j)
-39.12264601423539	(-0.0006511688445015838+0.025524059399890716j)	(-0.0012977767739077023+0.025460786791881098j)
-39.02447124381071	(-0.0006544386233799011+0.02558809863648024j)	(-0.001304267691369498+0.025524372212118774j)
-38.92629647338603	(-0.0006577330657216445+0.025652459595076848j)	(-0.0013108073556711117+0.025588274787327198j)
-38.82812170296135	(-0.0006610524199255105+0.025717144702939572j)	(-0.0013173962545223541+0.02565249688823971j)
-38.72994693253667	(-0.0006643969375218589+0.025782156411773054j)	(-0.0013240348817491357+0.025717040909187774j)
-38.631772162111986	(-0.0006677668732201626+0.02584749719803568j)	(-0.0013307237373840924+0.02578190926839313j)
-38.53359739168731	(-0.0006711624849572919+0.025913169563252347j)	(-0.0013374633277604894+0.025847104408263325j)
