wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.0011055657592013834+0.019842048195813373j)	(0.0007111673211271109+0.01986926665584218j)
-50.11822030179967	(0.001109882895795797+0.019880642511497675j)	(0.0007139342991521049+0.01990803949527391j)
-50.02004553137499	(0.001114225332765083+0.019919386720516585j)	(0.0007167175366060167+0.01994696386977584j)
-49.921870760950306	(0.0011185932679015737+0.019958281694631333j)	(0.0007195171794813172+0.01998604066229837j)
-49.82369599052563	(0.0011229869009317713+0.019997328312351806j)	(0.0007223333743405592+0.0200252707606712j)
-49.725521220100944	(0.00112740643353914+0.02003652745900168j)	(0.0007251662680511389+0.020064655057836812j)
-49.62734644967626	(0.0011318520693871955+0.020075880026784274j)	(0.0007280160075644347+0.020104194452128684j)
-49.52917167925158	(0.0011363240141428936+0.020115386914849164j)	(0.0007308827397464659+0.020143889847581656j)
-49.4309969088269	(0.0011408224755003254+0.02015504902935957j)	(0.0007337666112627664+0.020183742154261032j)
-49.33282213840222	(0.0011453476632047157+0.020194867283560493j)	(0.0007366677685168989+0.020223752288597546j)
-49.23464736797754	(0.0011498997890767436+0.020234842597847694j)	(0.0007395863576389203+0.02026392117371701j)
-49.13647259755286	(0.0011544790670371782+0.02027497589983745j)	(0.0007425225245180216+0.020304249739755337j)
-49.038297827128176	(0.0011590857131318537+0.02031526812443719j)	(0.0007454764148719668+0.020344738924152245j)
-48.9401230567035	(0.0011637199455569705+0.020355720213916843j)	(0.0007484481743456537+0.02038538967191908j)
-48.841948286278814	(0.001168381984684754+0.020396333117981207j)	(0.0007514379486308184+0.020426202935878535j)
-48.74377351585414	(0.001173072053089457+0.020437107793843022j)	(0.0007544458835998895+0.02046717967687603j)
-48.64559874542945	(0.0011777903755737333+0.02047804520629702j)	(0.0007574721254474339+0.02050832086396351j)
-48.54742397500477	(0.0011825371791953706+0.020519146327794797j)	(0.0007605168208340264+0.020549627474558015j)
-48.44924920458009	(0.0011873126932944067+0.020560412138520598j)	(0.0007635801170282315+0.0205911004945776j)
-48.35107443415541	(0.0011921171495206271+0.02060184362646804j)	(0.0007666621620436393+0.020632740918557727j)
-48.25289966373073	(0.001196950781861449+0.020643441787517664j)	(0.0007697631047685796+0.020674549749751324j)
-48.154724893306046	(0.00120181382667021+0.020685207625515532j)	(0.0007728830950873064+0.020716528000215596j)
-48.05655012288137	(0.0012067065226948497+0.020727142152352655j)	(0.000776022283991609+0.020758676690888413j)
-47.958375352456684	(0.0012116291111070132+0.020769246388045462j)	(0.000779180823682961+0.02080099685165694j)
-47.86020058203201	(0.0012165818355315584+0.020811521360817143j)	(0.0007823588676650983+0.020843489521420584j)
-47.76202581160732	(0.0012215649420764983+0.02085396810718008j)	(0.0007855565708276285+0.02088615574815038j)
-47.663851041182646	(0.0012265786793633625+0.02089658767201915j)	(0.0007887740895210442+0.02092899658894622j)
-47.56567627075796	(0.0012316232985580045+0.020939381108676137j)	(0.0007920115816242668+0.02097201311009343j)
-47.46750150033328	(0.001236699053401845+0.02098234947903507j)	(0.0007952692066051109+0.021015206387119352j)
-47.3693267299086	(0.001241806200243568+0.021025493853608676j)	(0.0007985471255745996+0.021058577504851222j)
-47.271151959483916	(0.0012469449980712774+0.02106881531162582j)	(0.0008018455013359756+0.02110212755747557j)
-47.17297718905924	(0.0012521157085451113+0.021112314941120033j)	(0.0008051644984289291+0.021145857648599737j)
-47.074802418634555	(0.001257318596030336+0.021155993839019102j)	(0.0008085042831699659+0.02118976889131586j)
-46.97662764820988	(0.0012625539276309129+0.021199853111235754j)	(0.0008118650236891657+0.02123386240826749j)
-46.87845287778519	(0.0012678219732235592+0.021243893872759476j)	(0.0008152468899643346+0.021278139331718893j)
-46.780278107360516	(0.0012731230054922962+0.02128811724774939j)	(0.0008186500538525009+0.021322600803627384j)
-46.68210333693583	(0.0012784572999635082+0.021332524369628337j)	(0.000822074689119757+0.02136724797571832j)
-46.58392856651115	(0.0012838251350415107+0.021377116381178077j)	(0.0008255209714692031+0.021412082009563113j)
-46.48575379608647	(0.001289226792044633+0.021421894434635647j)	(0.0008289890785679119+0.021457104076659995j)
-46.387579025661786	(0.001294662555241842+0.02146685969179097j)	(0.0008324791900727104+0.02150231535851755j)
-46.28940425523711	(0.0013001327118898872+0.021512013324085557j)	(0.0008359914876553226+0.021547717046740977j)
-46.191229484812425	(0.001305637552271006+0.021557356512712574j)	(0.0008395261550269268+0.02159331034312101j)
-46.09305471438775	(0.0013111773697311766+0.021602890448718014j)	(0.0008430833779623219+0.02163909645972532j)
