wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.000633124610363587+0.019883476351568195j)	(0.00023729027692802852+0.019894837581862078j)
-50.11822030179967	(0.0006356022960934719+0.019922313560231348j)	(0.00023820145942360593+0.019933773194338433j)
-50.02004553137499	(0.0006380945419060425+0.019961302564955825j)	(0.0002391265536288559+0.019972855104924844j)
-49.921870760950306	(0.0006406014639227032+0.020000444255101557j)	(0.0002400596063183914+0.02001208700985603j)
-49.82369599052563	(0.0006431231779363295+0.020039739527529278j)	(0.0002409993045261135+0.02005147121627913j)
-49.725521220100944	(0.0006456598006127257+0.020079189286383303j)	(0.0002419452056230295+0.020091009309186114j)
-49.62734644967626	(0.0006482114496898638+0.020118794443013267j)	(0.00024289712744254084+0.020130702577028356j)
-49.52917167925158	(0.0006507782440378818+0.020158555915990223j)	(0.00024385499254120734+0.020170552171182465j)
-49.4309969088269	(0.0006533603036884588+0.020198474631155285j)	(0.0002448187750295019+0.020210559172046866j)
-49.33282213840222	(0.0006559577498561715+0.02023855152168088j)	(0.0002457884755306741+0.02025072461976755j)
-49.23464736797754	(0.0006585707049563725+0.020278787528137023j)	(0.00024676410848771226+0.02029104953255694j)
-49.13647259755286	(0.0006611992926198822+0.02031918359856089j)	(0.0002477457003122863+0.020331534917894134j)
-49.038297827128176	(0.000663843637710539+0.020359740688529308j)	(0.00024873328007448694+0.020372181776875532j)
-48.9401230567035	(0.0006665038663383482+0.020400459761231407j)	(0.000249726883872933+0.02041299111154269j)
-48.841948286278814	(0.0006691801058762726+0.020441341787545662j)	(0.0002507265496693902+0.02045396392105964j)
-48.74377351585414	(0.000671872484974952+0.02048238774611278j)	(0.00025173231795141623+0.020495101213220842j)
-48.64559874542945	(0.0006745811335779653+0.020523598623417065j)	(0.00025274423287007777+0.02053640399365452j)
-48.54742397500477	(0.0006773061829395343+0.02056497541386127j)	(0.00025376233546012847+0.020577873276367356j)
-48.44924920458009	(0.0006800477656378026+0.020606519119846962j)	(0.00025478667134356934+0.02061951008182342j)
-48.35107443415541	(0.0006828060155926123+0.020648230751855158j)	(0.0002558172857859761+0.020661315436237518j)
