wn	g_wn_up	g_wn_dn
-50.21639507222435	(0.0009484239144798283+0.019858347415461552j)	(0.0005533798380575754+0.019879308414467143j)
-50.11822030179967	(0.0009521305464606865+0.019897037212743763j)	(0.0005555314219202741+0.01991814009250467j)
-50.02004553137499	(0.000955858925443582+0.019935877649589054j)	(0.0005576957076512287+0.019957123916623416j)
-49.921870760950306	(0.0009596092216732607+0.01997486960505805j)	(0.0005598728378478548+0.019996260763601933j)
-49.82369599052563	(0.0009633816070633216+0.020014013965047074j)	(0.000562062951985502+0.02003555151069346j)
-49.725521220100944	(0.0009671762552161778+0.02005331162235408j)	(0.0005642661853318434+0.020074997037060244j)
-49.62734644967626	(0.0009709933414431255+0.020092763476745282j)	(0.0005664826683434001+0.02011459822534434j)
-49.52917167925158	(0.0009748330427845472+0.020132370435022577j)	(0.000568712526510407+0.02015435596320861j)
-49.4309969088269	(0.0009786955380302806+0.020172133411091843j)	(0.000570955880567852+0.02019427114472657j)
-49.33282213840222	(0.0009825810077401815+0.020212053326032042j)	(0.000573212846970678+0.020234344671549876j)
-49.23464736797754	(0.0009864896342649293+0.020252131108165334j)	(0.0005754835385318554+0.020274577453826624j)
-49.13647259755286	(0.0009904216017670945+0.020292367693127946j)	(0.0005777680651362809+0.020314970410876165j)
-49.038297827128176	(0.0009943770962425093+0.020332764023942095j)	(0.0005800665344630528+0.02035552447164757j)
-48.9401230567035	(0.0009983563055419435+0.0203733210510887j)	(0.0005823790526696942+0.020396240574998777j)
-48.841948286278814	(0.0010023594193931135+0.02041403973258108j)	(0.0005847057250097266+0.020437119669836492j)
-48.74377351585414	(0.001006386629423024+0.020454921034039515j)	(0.0005870466563699952+0.02047816271515433j)
-48.64559874542945	(0.0010104381291806542+0.020495965928766704j)	(0.0005894019517241172+0.020519370680001738j)
-48.54742397500477	(0.0010145141141599879+0.020537175397824167j)	(0.0005917717165057194+0.02056074454341006j)
-48.44924920458009	(0.0010186147818233937+0.020578550430109553j)	(0.0005941560569088971+0.020602285294295985j)
-48.35107443415541	(0.001022740331625356+0.02062009202243484j)	(0.0005965550801254357+0.020643993931357248j)
-48.25289966373073	(0.001026890965036555+0.020661801179605525j)	(0.0005989688945285584+0.02068587146297087j)
-48.154724893306046	(0.001031066885568309+0.020703678914500704j)	(0.0006013976098128933+0.02072791890710069j)
-48.05655012288137	(0.0010352682987973686+0.02074572624815415j)	(0.0006038413370989521+0.020770137291218172j)
-47.958375352456684	(0.0010394954123910726+0.020787944209836335j)	(0.0006063001890098726+0.02081252765223857j)
-47.86020058203201	(0.001043748436132873+0.020830333837137435j)	(0.000608774279726484+0.020855091036473136j)
